AS59330,RRHAPPL-AS-AP,
AS48784,Russian Project LLC,
AS54001,S & A Telephone Co. IncAS54001,
AS262671,S & M InformՍtica Ltda.,
AS30027,S & T COMMUNICATIONS LLCAS30027,
AS6671,Samara State Aerospace University (SGAU),
AS52859,SAMPAIO & SAMPAIO PROVEDORES DE INTERNET LTDA,
AS21166,SatGate LLC,
AS55779,SBI-GENERAL-APNIC-IN,
AS7627,SBS-AS SBS-AS-KR,
AS41832,SC OSF Global Services S.R.L.,
AS41461,SC PIRAEUS BANK ROMANIA SA,
AS41807,SC SKYTELECOM SRL,
AS8839,SdV-Plurimedia,
AS21156,"SIA ""Datagrupa.lv""",
AS41898,"SIA ""Datu Tehnologiju Grupa""",
AS265128,SILVA & MORAES SERV DE COMUN MULTIMIDIA-SCM LTDA,
AS28668,SILVA & SILVEIRA S/C LTDA - ME,
AS53234,SILVEIRA & ZIQUINATTI LTDA,
AS59341,SINETEN-BD,
AS17988,SINOSAT-HK,
AS2612,SITASYS AG,
AS57801,"SK-NIC, a.s.",
AS62026,SkyparkCDN Ltd.,
AS6855,"Slovak Telecom, a. s.",
AS18934,SMITH & HAMMAKERAS18934AS62974,
AS263073,SOARES & AGUIAR LTDA ME,
AS12626,Societe Francaise du Radiotelephone S.A.,
AS3295,Societe Generale,
AS57507,Sokom S.r.l.,
AS17736,SOLSIS-MY-AP,
AS8216,Soluziona Consultoria y TecnologiaAS3901,
AS25562,Sony Computer Entertainment Europe,
AS56625,SOS Alarm Sverige AB,
AS43950,Spilsby Internet Solutions,
AS41949,SSA Ltd,
AS16157,STARNETIS S.R.L.,
AS8475,"State Educational Institute of Higher Professional Education ""Bashkirskiy State University""",
AS16308,State Educational institution for High professional education 'Southern Federal University',
AS8411,State Educational Institution of Higher Professional Education Omsk State University of F.M.Dostoevsky,
AS8599,State Educational Institution of Higher Professional Education Ulyanovsk State University,
AS24882,"State enterprise ""Information Centre"" Ministry of Justice of Ukraine",
AS19399,Stockholms Lans Landsting,
AS12873,Strateji Menkul Degerler A.S.,
AS13022,Streams Telecommunicationsservices GmbH,
AS8547,Styria IT Solutions GmbH & Co KG,
AS8680,Sure Guernsey Limited,
AS29298,SUSE LINUX GmbH,
AS50711,SYN LTD,
AS34557,Tacom,
AS28949,Technical University of Sofia,
AS8700,Technological Educational Institute of Thessaly,
AS201088,Techstandart-S LLC,
AS15670,Tele 2 Nederland B.V.,
AS8818,Tele Greenland,
AS5609,Telecom Italia S.p.a.,
AS34421,Telecom Media Systems JLLC,
AS12655,Telefonbuch Verlag Hans Mueller GmbH & Co. KG,
AS8307,Telekom Slovenije d.d.,
AS197204,TeleMaks Ltd,
AS61967,telematis Netzwerke GmbH,
AS198378,TELP Ltd.,
AS29050,Terrecablate Reti e Servizi S.R.L.,
AS8911,TESLATEL SRL,
AS5540,The Israel Electric Corporation Limited,
AS12988,The Phoenix Insurance Company Ltd,
AS13280,Three Ireland Services (Hutchison) Limited,
AS9096,Timber Hill (Europe) AG,
AS198944,TN HOSTING ApS,
AS8669,TotalWeb,
AS35365,TOV Vica-TV,
AS56093,TRIMBLE-AS-IN-AP,
AS50295,Triple IT BV,
AS36391,TRIUMF (Tri-University Meson Facility)AS36391,
AS41828,TUSMOBIL D.O.O.,
AS44246,"UAB ""Bitosis""",
AS2861,Udo Steinegger,
AS38794,UIH / BB Broadband,
AS45796,UIH / BB Connect,
AS12593,Ukrcom Ltd.,
AS25206,Unacs - Yuri Jordanov Ltd.,
AS9052,Unidad Editorial S.A.,
AS8659,United Nations International Computing Centre,
AS8609,Universidade Catolica Portuguesa,
AS12782,Uppsala Lans Landsting,
AS15980,Uppsala University,
